,CASRN,smiles,LogLD
35,1000-70-0,C[Si](C)(C)N=C=N[Si](C)(C)C,3.237543738
36,10004-44-1,CC1=CC(=O)NO1,3.493039588
37,100093-45-6,COC1=C(C=C(C=C1)C=C(C(=O)NC2=CC=CC=C2C(=O)O)C(=O)NC3=CC=CC=C3C(=O)O)OC,4
38,1001-55-4,CC(=O)OCC#N,1.505149978
39,10017-11-5,C=CCN.Cl,2.176091259
40,10018-78-7,C1CCC(CC1)OC(=O)CCC(=O)O,3.812913357
41,100199-60-8,C1=CC(=CC=C1CO)OCCN2C=CN=C2,3.686636269
42,100217-51-4,CCC(CC)NC1=NN=C(C2=CC=CC=C21)C3=CC=CC=C3,3.903089987
43,10022-60-3,CCC(CC)COC(=O)CCCCC(=O)OCC(CC)CC,3.749736316
44,100237-68-1,CC(C)(C)CNC1=NN=C(C2=CC=CC=C21)C3=CC=CC=C3,3.903089987
45,10024-70-1,CC(CC(=O)O)OC,3.481442629
46,10024-78-9,CCCCC(CC)CCC(C)N,2.86332286
47,10029-04-6,CCOC(=O)C(=C)CO,2.792391689
48,100299-08-9,CC1=CC=CN2C1=NC=C(C2=O)C3=NN=N[N-]3.[K+],2.836956737
49,1003-14-1,CCCC1CO1,3.167021796
50,1003-40-3,C1=CN=CC=C1N.Cl,1.505149978
51,1003-52-7,CC1=C(OC=N1)C#N,2.866287339
52,10031-58-0,CCC1=C[N+](=C(C=C1)C)C(C)CCC(C)(C)CC(C)(C)C.[Cl-],2.73239376
53,10031-96-6,COC1=C(C=CC(=C1)CC=C)OC=O,3.531478917
54,10032-15-2,CCCCCCOC(=O)C(C)CC,3.698970004
55,100365-72-8,CC1=NN(C=C1)C(=O)N,2.919078092
56,1003859-14-0,C1=CC(=NC=C1CNCC(F)F)Cl,3.301029996
57,10040-45-6,C1=CC=NC(=C1)C(C2=CC=C(C=C2)OS(=O)(=O)[O-])C3=CC=C(C=C3)OS(=O)(=O)[O-].[Na+].[Na+],4.053078443
58,10042-77-0,C(COS(=O)(=O)N)N,3.872738827
59,10043-35-3,B(O)(O)O,3.301029996
60,10048-13-2,COC1=C2C(=C3[C@@H]4C=CO[C@@H]4OC3=C1)OC5=CC=CC(=C5C2=O)O,2.155336037
61,100482-70-0,C(CCCl)C[N+](CCCl)(CCCl)[O-].Cl,1.477121255
62,10049-04-4,O=Cl[O],3.698970004
63,10049-60-2,CCC(C)N.Cl,3.662757832
64,10049-83-9,CC1=NC=C(C(=C1O)CO)CSSCC2=CN=C(C(=C2CO)O)C.Cl.Cl,3.77815125
65,1005-67-0,CCCCN1CCOCC1,2.5289167
66,1005-93-2,CCC12COP(=O)(OC1)OC2,0.488550717
67,100537-30-2,C1=CC=C(C=C1)OC2=NN=CC3=CC=CC=C32,3
68,10058-20-5,CCCCCCOCCOC(=O)CCC(=O)OCCOCCCCCC,3.631443769
69,100596-38-1,COC(=O)C1=CC(=C(C=C1)OC2=CC(=CC(=C2)C(=O)OC)C(=O)OC)N,4
70,10061-01-5,C(/C=C\Cl)Cl,2.014240439
71,100678-32-8,C1CN=C(N1)C2CC2(C3=CC=CC=C3)C4=CC=CC=C4.C(CC(=O)O)C(=O)O,2.555094449
72,100706-81-8,CN1C2=C(C(=O)N(C1=O)C)N(C=N2)CC(=O)N3CCOCC3,3.698970004
73,100751-82-4,CC1=C(C(=CC=C1)C)N/N=C(/N)\N(C)C.Cl,2.991226076
74,10081-67-1,CC(C)(C1=CC=CC=C1)C2=CC=C(C=C2)NC3=CC=C(C=C3)C(C)(C)C4=CC=CC=C4,3.301029996
75,10085-81-1,CNCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24.Cl,2.84509804
76,10086-50-7,CC(C)CCOC(CC(C)C)CO,3.733197265
77,1009-93-4,C[Si]1(N[Si](N[Si](N1)(C)C)(C)C)C,2.698970004
78,100924-68-3,CN(C)C1=CC=CC=C1CS(=O)C2=NC3=CC=CC=C3N2,3.113943352
79,10097-02-6,CCC(CO)(CO)C(=O)O,3.301029996
80,10097-26-4,CCCCCCC(CCCC)COC(=O)C(=C)C,4.414973348
81,100981-43-9,C1=CC(=CC=C1S(=O)(=O)NC=NCCSCC2=CSC(=N2)N=C(N)N)Br,3.903089987
82,100986-85-4,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2N4CCN(CC4)C)F)C(=O)O,3.169674434
83,10099-72-6,C(COCCOC(=O)/C=C\C(=O)O)O,3.451786436
84,101-02-0,C1=CC=C(C=C1)OP(OC2=CC=CC=C2)OC3=CC=CC=C3,3.009450896
85,101-05-3,C1=CC=C(C(=C1)NC2=NC(=NC(=N2)Cl)Cl)Cl,3.525044807
86,101-10-0,CC(C(=O)O)OC1=CC(=CC=C1)Cl,2.875061263
87,101-14-4,C1=CC(=C(C=C1CC2=CC(=C(C=C2)N)Cl)Cl)N,3.056904851
88,101-20-2,C1=CC(=CC=C1NC(=O)NC2=CC(=C(C=C2)Cl)Cl)Cl,4.10946605
89,101-25-7,C1N2CN(CN1CN(C2)N=O)N=O,2.973127854
90,101-26-8,C[N+]1=CC=CC(=C1)OC(=O)N(C)C.[Br-],1.574031268
91,101-27-9,C1=CC(=CC(=C1)Cl)NC(=O)OCC#CCCl,3.045583738
92,101-37-1,C=CCOC1=NC(=NC(=N1)OCC=C)OCC=C,2.878904602
93,101-40-6,CC(CC1CCCCC1)NC,1.919078092
94,101-41-7,COC(=O)CC1=CC=CC=C1,3.40654018
95,101-42-8,CN(C)C(=O)NC1=CC=CC=C1,3.770852012
96,101-49-5,C1COC(O1)CC2=CC=CC=C2,3.342422681
97,101-50-8,C1=CC(=CC=C1N=NC2=CC(=C(C=C2)N)S(=O)(=O)O)S(=O)(=O)O,4.170261715
98,101-54-2,C1=CC=C(C=C1)NC2=CC=C(C=C2)N,2.830588669
99,101-70-2,COC1=CC=C(C=C1)NC2=CC=C(C=C2)OC,3.392696953
100,101-76-8,C1=CC(=CC=C1CC2=CC=C(C=C2)Cl)Cl,3
101,101-77-9,C1=CC(=CC=C1CC2=CC=C(C=C2)N)N,2.470802365
102,101-80-4,C1=CC(=CC=C1N)OC2=CC=C(C=C2)N,2.860338007
103,101-81-5,C1=CC=C(C=C1)CC2=CC=CC=C2,3.352182518
104,101-83-7,C1CCC(CC1)NC2CCCCC2,2.571708832
105,101-84-8,C1=CC=C(C=C1)OC2=CC=CC=C2,3.476251796
106,101-85-9,CCCCC/C(=C/C1=CC=CC=C1)/CO,3.602059991
107,101-86-0,CCCCCC/C(=C/C1=CC=CC=C1)/C=O,3.491361694
108,101-87-1,C1CCC(CC1)NC2=CC=C(C=C2)NC3=CC=CC=C3,3.301029996
109,101-90-6,C1C(O1)COC2=CC(=CC=C2)OCC3CO3,3.409933123
110,101-94-0,Cc1ccc(OC(=O)Cc2ccccc2)cc1,3.698970004
111,101-97-3,CCOC(=O)CC1=CC=CC=C1,3.51851394
112,101007-06-1,CC1([C@H]([C@H]1C(=O)O[C@H](C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)/C=C\C(=O)OC(C(F)(F)F)C(F)(F)F)C,3.698970004
113,101030-71-1,C/C(=C/C(=O)NC1=CC=C(C=C1)O)/Cl,3.198657087
114,101030-72-2,CC(=CC(=O)NC1=CC=C(C=C1)O)C,3.290034611
115,101043-37-2,C[C@H]1[C@@H](NC(=O)[C@@H](NC(=O)[C@H]([C@@H](NC(=O)[C@@H](NC(=O)[C@H](NC(=O)C(=C)N(C(=O)CC[C@@H](NC1=O)C(=O)O)C)C)CC(C)C)C(=O)O)C)CCCN=C(N)N)/C=C/C(=C/[C@H](C)[C@H](CC2=CC=CC=C2)OC)/C,0.698970004
116,101152-94-7,CCN(CC)C(=O)[C@@]1(C[C@@H]1CN)C2=CC=CC=C2.Cl,2.328379603
117,101155-02-6,CNC1=C2C(=NC=N1)N(C=N2)CC3=CC=CC=C3F,3
118,101200-48-0,CC1=NC(=NC(=N1)OC)N(C)C(=O)NS(=O)(=O)C2=CC=CC=C2C(=O)OC,3.698970004
119,101205-02-1,CCC/C(=N\OCC)/C1=C(CC(CC1=O)C2CCCSC2)O,3.595496222
120,101238-01-1,CCCCCCCCCCCC(=O)OC1CC(NC(C1)(C)C)(C)C,3.301029996
121,1013-99-6,CC1=CC(=O)C=C(O1)C2=CC=CC=C2,2.795880017
122,10137-69-6,C1CC(CC=C1)[Si](Cl)(Cl)Cl,3.451786436
123,10137-80-1,CCCCC(CC)CNC1=CC=CC=C1,3.382017043
124,10137-87-8,CCNC(C)C1=CC=CC=C1,2.556302501
125,10137-90-3,CCCCC(CC)C=CC(=O)C,3.909556029
126,10138-47-3,CCCCC(CC)OCCO,3.357934847
127,10138-74-6,CC(CN)NCCO,3.691965103
128,10138-79-1,C(CCl)O[Si](OCCCl)OCCCl,2.278753601
129,10138-87-1,CCCCC(CC)OCCOCCO,3.46834733
130,1014-69-3,CC(C)NC1=NC(=NC(=N1)NC)SC,3.229169703
131,1014-70-6,CCNC1=NC(=NC(=N1)SC)NCC,2.875061263
132,1014-98-8,C1=CC(=CC=C1CN=C=O)CN=C=O,3.653212514
133,10140-75-7,CC(=O)OC(C(CCl)Cl)OC(=O)C,2.505149978
134,10140-89-3,C(C(C=O)Cl)Cl,2.204119983
135,10140-90-6,CC1CC(OP(=O)(O1)Cl)C,2.579783597
136,10140-93-9,CCCC1C(COP(=O)(O1)Cl)CC,1.397940009
137,10140-99-5,CCOCC(C(OCC)OCC)Cl,3.120573931
138,10141-07-8,C/C=C/C(OC(=O)\C=C\C)OC(=O)\C=C\C,3.413299764
139,10141-15-8,CC(CC(C)(C)O)OCCC#N,3.505149978
140,10141-19-2,CC(C)CC(C)CCCC(C)COC=C,3.086359831
141,10143-60-9,CCCCC(CC)COCC(CC)CCCC,4.531478917
142,10143-67-6,CC(OCCOC)OCCOC,3.5132176
143,101463-69-8,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F,3.602059991
144,101477-54-7,COC1=C(C(=C(C=C1)CN2CCN(CC2)C(C3=CC=C(C=C3)F)C4=CC=C(C=C4)F)OC)OC.Cl.Cl,2.487138375
145,101526-62-9,CCN(CC)CCNC(=O)C1=CC=C(C=C1)NS(=O)(=O)C.Cl,3.505149978
146,101530-10-3,C1C(S/C(=C(\C#N)/N2C=CN=C2)/S1)C3=CC=CC=C3Cl,2.814247596
147,1016-46-2,CN(C)C(=O)OC1=C2C=CSC2=CC=C1,1.531478917
148,101670-73-9,C1C[N+](OC1)(CCCl)CCCl.[I-],0.875061263
149,101670-74-0,C[N+]1(CCCO1)CCCl.[I-],0.477121255
150,101708-01-4,CC1=CC(=NN1)C(=O)NC2=CC=CC=C2C(F)(F)F,3.301029996
151,101708-02-5,CC1=CC(=NN1)C(=O)NC2=CC=CC(=C2)C(F)(F)F,3.301029996
152,101708-05-8,CC1=C(C(=CC=C1)NC(=O)C2=NNC(=C2)C)C,3.301029996
153,10171-78-5,CC(CNCCCO)N,3.752816431
154,10175-31-2,CN(C)CC1=CC=CC=C1Cl,3.06069784
155,10176-39-3,C[C@@H]1[C@H]([C@H](C[C@@H](O1)O[C@@H]2[C@H](O[C@H](C[C@@H]2OC=O)O[C@@H]3[C@H](O[C@H](C[C@@H]3OC=O)O[C@H]4CC[C@]5([C@@H](C4)CC[C@@H]6[C@@H]5CC[C@]7([C@@]6(C[C@@H]([C@@H]7C8=CC(=O)OC8)OC=O)O)C)C)C)C)OC=O)OC=O,1.59117595
156,1018-71-9,C1=CC(=C(C(=C1)Cl)[N+](=O)[O-])C2=CNC=C2Cl,3.301029996
157,101827-46-7,CC(C)(C)C1=CC=C(C=C1)CN(C)CC2=CC=CC3=CC=CC=C32.Cl,3.602059991
158,101893-08-7,CCCCCOC1=C(C=C(C=C1)Br)COCCN2CCOCC2,3.079181246
159,10193-95-0,C(CCOC(=O)CS)COC(=O)CS,2.607455023
160,101952-85-6,CCN(CC)CCC1=NC(=NO1)C2=CC=CC=C2O.C(C(=O)O)C(CC(=O)O)(C(=O)O)O,3.301029996
161,101952-86-7,CC[C@H](C1=CC=C(C=C1)OP(=O)(O)O)[C@@H](CC)C2=CC=C(C=C2)OP(=O)(O)[O-].[Na+],3.301029996
162,102-01-2,CC(=O)CC(=O)NC1=CC=CC=C1,3.485768733
163,102-06-7,C1=CC=C(C=C1)NC(=NC2=CC=CC=C2)N,2.359835482
164,102-09-0,C1=CC=C(C=C1)OC(=O)OC2=CC=CC=C2,3.176091259
165,102-13-6,CC(C)COC(=O)CC1=CC=CC=C1,3.698970004
166,102-17-0,COC1=CC=C(C=C1)COC(=O)CC2=CC=CC=C2,3.698970004
167,102-20-5,C1=CC=C(C=C1)CCOC(=O)CC2=CC=CC=C2,4.176091259
168,102-22-7,CC(=CCC/C(=C/COC(=O)CC1=CC=CC=C1)/C)C,3.698970004
169,102-24-9,B1(OB(OB(O1)OC)OC)OC,3.712649702
170,102-27-2,CCNC1=CC=CC(=C1)C,2.763427994
171,102-30-7,CCCCCCCCCCCC[N+](C)(C)CC1=CC(=C(C=C1)Cl)Cl.[Cl-],2.86332286
172,102-71-6,C(CO)N(CCO)CCO,3.830267801
173,102-81-8,CCCCN(CCCC)CCO,3.029383778
174,102-83-0,CCCCN(CCCC)CCCN,2.913813852
175,102-84-1,C=CCOP(OCC=C)OCC=C,2.250420002
176,102-85-2,CCCCOP(OCCCC)OCCCC,3.477121255
177,1020-35-5,CCC(C)C1=C(C=CC(=C1)OC(=O)NC)C,1.544068044
178,102071-30-7,C1CCNC(C1)C(C2=CC=CC=C2)(C3=CC=C(C=C3)Cl)O.Cl,2.602059991
179,1021-19-8,C1C2C(C(O1)O)C3(C(=C(C2(C3(Cl)Cl)Cl)Cl)Cl)Cl,3.243038049
180,10213-74-8,CCC(CC)COCCC(=O)O,3.571708832
181,10213-75-9,CCCCC(CC)COCCC#N,3.691965103
182,102207-73-8,CCCCN(CCCC)CCOC1=NC(=NC=C1)N,3
183,102207-77-2,CN(C)CCOC1=NC(=NC=C1)N,3.176091259
184,102251-91-2,CCS(=O)(=O)CCC(=O)NNC(=O)N1CC2=CC=CC=C2OC3=C1C=C(C=C3)Cl,3.477121255
185,102268-15-5,CCC1=CC(=C(N=C1)C(=O)O)C(=O)O,3.525433553
186,10232-91-4,CCC(CC)COCCC#N,3.390935107
187,10232-92-5,CC(C)(CO)C(C#N)O,2.491361694
188,10232-93-6,COCCOC(=O)\C=C/C(=O)OCCOC,3.523746467
189,102324-40-3,COC1=CC(=CC(=C1OC)OC)NC(=O)OCCCN2CCN(CC2)C3=CC=CC=C3.C(=C\C(=O)O)\C(=O)O,2.954242509
190,10235-09-3,C(CCl)OP(=S)(OCCCl)OCCCl,2.913813852
191,102366-79-0,C1NC2=C(N1)N=CN=C2NCC3=CC=CC=C3,3.322219295
192,10238-21-8,COC1=C(C=C(C=C1)Cl)C(=O)NCCC2=CC=C(C=C2)S(=O)(=O)NC(=O)NC3CCCCC3,4.301029996
193,102394-31-0,CCN(CC)CC1CCCCN1CC(=O)N2C3=CC=CC=C3C(=O)NC4=C2N=CC=C4,3.185542155
194,1024-57-3,C12C(C(C3C1O3)Cl)C4(C(=C(C2(C4(Cl)Cl)Cl)Cl)Cl)Cl,1.176091259
195,102410-20-8,CN(C)CC(=O)N/N=C/C1=C(N=C2N1C=CS2)Cl,3.176091259
196,102410-37-7,CC1=C(N2CCSC2=N1)/C=N/NC(=O)CN(C)C,3
197,102410-39-9,CC1=CC=C(C=C1)C2=C(N3CCSC3=N2)/C=N/NC(=O)CN(C)C,2.903089987
198,102410-40-2,CN(C)CC(=O)N/N=C/C1=C(N=C2N1CCS2)Cl,3
199,1025-15-6,C=CCN1C(=O)N(C(=O)N(C1=O)CC=C)CC=C,2.924106913
200,102518-79-6,CC=C1[C@@H]2CC3=C([C@]1(CC(=C2)C)N)C=CC(=O)N3,1.176091259
201,10254-57-6,CCCCN(CCCC)C(=S)SCSC(=S)N(CCCC)CCCC,4.204119983
202,102579-43-1,CCCNC(=O)C(CC1=CC=C(C=C1)OCCN(CC)CC)NC(=O)C2=CC=CC=C2,2.875061263
203,102601-34-3,C1CCC(CC1)NCC(CS(=O)(=O)[O-])O.[Na+],3.301029996
204,10262-69-8,CNCCCC12CCC(C3=CC=CC=C31)C4=CC=CC=C24,2.932811869
205,10265-92-6,COP(=O)(N)SC,1.224014811
206,10265-93-7,CCOP(=O)(N)SC,0.698970004
207,102676-31-3,C1CC(N2C=NC=C2C1)C3=CC=C(C=C3)C#N.Cl,2.301029996
208,10268-78-7,CC(=O)NC1=CC(=CC=C1)NC(=O)C,4.029383778
209,102851-06-9,CC(C)[C@H](C(=O)OC(C#N)C1=CC(=CC=C1)OC2=CC=CC=C2)NC3=C(C=C(C=C3)C(F)(F)F)Cl,3.301029996
210,10291-28-8,CC1=CC=C(C=C1)NC2=CC(=C(C=C2C(=O)O)NC3=CC=C(C=C3)C)C(=O)O,3.698970004
211,103-05-9,CC(C)(CCC1=CC=CC=C1)O,3.342422681
212,103-07-1,CC(=O)OC(C)(C)CCC1=CC=CC=C1,3.685741739
213,103-09-3,CCCCC(CC)COC(=O)C,3.477121255
214,103-11-7,CCCCC(CC)COC(=O)C=C,3.749253068
215,103-16-2,C1=CC=C(C=C1)COC2=CC=C(C=C2)O,3.505149978
216,103-23-1,CCCCC(CC)COC(=O)CCCCC(=O)OCC(CC)CCCC,4.278459618
217,103-24-2,CCCCC(CC)COC(=O)CCCCCCCC(=O)OCC(CC)CCCC,3.301029996
218,103-28-6,CC(C)C(=O)OCC1=CC=CC=C1,3.45484486
219,103-29-7,C1=CC=C(C=C1)CCC2=CC=CC=C2,3.654946227
220,103-33-3,C1=CC=C(C=C1)N=NC2=CC=CC=C2,3
221,103-34-4,C1COCCN1SSN2CCOCC2,3.694605199
222,103-36-6,CCOC(=O)/C=C/C1=CC=CC=C1,3.602059991
223,103-37-7,CCCC(=O)OCC1=CC=CC=C1,3.367355921
224,103-38-8,CC(C)CC(=O)OCC1=CC=CC=C1,3.698970004
225,103-41-3,C1=CC=C(C=C1)COC(=O)/C=C/C2=CC=CC=C2,3.736794755
226,103-44-6,CCCCC(CC)COC=C,3.130333768
227,103-45-7,CC(=O)OCCC1=CC=CC=C1,3.664955206
228,103-48-0,CC(C)C(=O)OCCC1=CC=CC=C1,3.716003344
229,103-53-7,C1=CC=C(C=C1)CCOC(=O)/C=C/C2=CC=CC=C2,3.698970004
230,103-54-8,CC(=O)OCC=CC1=CC=CC=C1,3.51851394
231,103-56-0,CCC(=O)OC/C=C/C1=CC=CC=C1,3.531478917
232,103-59-3,CC(C)C(=O)OC/C=C/C1=CC=CC=C1,3.698970004
233,103-60-6,CC(C)C(=O)OCCOC1=CC=CC=C1,3.698970004
234,103-63-9,C1=CC=C(C=C1)CCBr,2.909020854
235,103-64-0,C1=CC=C(C=C1)/C=C/Br,3.096910013
236,103-65-1,CCCC1=CC=CC=C1,3.781036939
237,103-71-9,C1=CC=C(C=C1)N=C=O,2.939519253
238,103-74-2,C1=CC=NC(=C1)CCO,3.783206578
239,103-75-3,CCOC1CCC=CO1,3.789580712
240,103-82-2,C1=CC=C(C=C1)CC(=O)O,3.352182518
241,103-83-3,CN(C)CC1=CC=CC=C1,2.423245874
242,103-84-4,CC(=O)NC1=CC=CC=C1,2.903089987
243,103-85-5,C1=CC=C(C=C1)NC(=S)N,0.477121255
244,103-90-2,CC(=O)NC1=CC=C(C=C1)O,3.336859821
245,103-95-7,CC(C)C1=CC=C(C=C1)CC(C)C=O,3.580924976
246,10305-38-1,CCCCCCOCC(CO)O,3.397940009
247,10305-41-6,C1CCC(CC1)OCC(CO)O,3.301029996
248,103079-06-7,CC(C)([C@@H]1CC=C([C@H](C1)O)CCO)O,3.698970004
249,1031-47-6,CN(C)P(=O)(N1C(=NC(=N1)C2=CC=CC=C2)N)N(C)C,1.301029996
250,10310-32-4,CCOC1[C@@H]([C@H]([C@H](O1)[C@@H](COCC2=CC=CC=C2)OCC3=CC=CC=C3)OCC4=CC=CC=C4)O,4.301029996
251,10310-38-0,C(C[P+](CCC#N)(CCC#N)CC[P+](CCC#N)(CCC#N)CCC#N)C#N.[Br-].[Br-],4
252,103112-35-2,CCOC(=O)C1=NN(C(=N1)C(Cl)(Cl)Cl)C2=C(C=C(C=C2)Cl)Cl,3.698970004
253,10312-19-3,COP(=S)(OC)SC(CBr)N1C(=O)C2=CC=CC=C2C1=O,2.274157849
254,10312-20-6,CCOP(=S)(OCC)SC(CBr)N1C(=O)C2=CC=CC=C2C1=O,1.255272505
255,10326-41-7,C[C@H](C(=O)O)O,3.664618474
256,10329-95-0,C1CC(=O)N(C(=O)C1N2C(=O)C3=CC=CC=C3C2=O)CN4CCOCC4,3.903089987
257,10329-96-1,C1COCCN1CN2C(=O)CC(CC2=O)N3C(=O)C4=CC=CC=C4C3=O,3.903089987
258,10331-57-4,C1=C(C=C(C(=C1C2=C(C(=CC(=C2)Cl)[N+](=O)[O-])O)O)[N+](=O)[O-])Cl,1
259,103335-54-2,C[C@]12CC[C@H]3[C@H]([C@@H]1CC[C@@H]2C(=O)O)CC=C4[C@@]3(CCC(=O)N4)C,3.301029996
260,103361-09-7,C#CCN1C(=O)COC2=CC(=C(C=C21)N3C(=O)C4=C(C3=O)CCCC4)F,3.698970004
261,1034-01-1,CCCCCCCCOC(=O)C1=CC(=C(C(=C1)O)O)O,3.368286885
262,103446-98-6,CCCCN1C2=NN(C(=C2C(=O)N(C1=O)CCC)NC)C(=O)OC,3.376576957
263,10347-54-3,C1CC(CCC1CN=C=O)CN=C=O,3.204119983
264,103628-48-4,CNS(=O)(=O)CC1=CC2=C(C=C1)NC=C2CCN(C)C.C(CC(=O)O)C(=O)O,3.468199586
265,10389-72-7,CC(C)(CC1=CC=CC=C1Cl)N.Cl,2.521138084
266,103890-78-4,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2/C=C/C(=O)OC(C)(C)C)C(=O)OCC)C)C,2.944482672
267,1039-59-4,CN(C)CCCN1C2=CC=CC=C2SC3=C1C=C(C=C3)SC,3.161368002
268,10397-75-8,CNC(=O)C1=C(C(=C(C(=C1I)NC(=O)CCCCC(=O)NC2=C(C(=C(C(=C2I)C(=O)O)I)C(=O)NC)I)I)C(=O)O)I,4.204119983
269,104-14-3,C1=CC(=CC=C1C(CN)O)O,3.093421685
270,104-15-4,CC1=CC=C(C=C1)S(=O)(=O)O,3.158362492
271,104-20-1,CC(=O)CCC1=CC=C(C=C1)OC,3.698970004
272,104-27-8,CCC(=O)/C=C/C1=CC=C(C=C1)OC,3.698970004
273,104-40-5,CCCCCCCCCC1=CC=C(C=C1)O,3.209515015
274,104-45-0,CCCC1=CC=C(C=C1)OC,3.643452676
275,104-46-1,C/C=C/C1=CC=C(C=C1)OC,3.320146286
276,104-50-7,CCCCC1CCC(=O)O1,3.643452676
277,104-53-0,C1=CC=C(C=C1)CCC=O,3.698970004
278,104-54-1,C1=CC=C(C=C1)/C=C/CO,3.301029996
279,104-55-2,C1=CC=C(C=C1)/C=C/C=O,3.416085498
280,104-57-4,C1=CC=C(C=C1)COC=O,3.146128036
281,104-61-0,CCCCCC1CCC(=O)O1,3.852886446
282,104-62-1,C1=CC=C(C=C1)CCOC=O,3.507855872
283,104-64-3,C1=CC=C(C=C1)CCCOC=O,3.611723308
284,104-65-4,C1=CC=C(C=C1)/C=C/COC=O,3.462397998
285,104-66-5,C1=CC=C(C=C1)OCCOC2=CC=CC=C2,3.698970004
286,104-67-6,CCCCCCCC1CCC(=O)O1,4.267171728
287,104-75-6,CCCCC(CC)CN,2.653212514
288,104-76-7,CCCCC(CC)CO,3.416640507
289,104-78-9,CCN(CC)CCCN,2.903089987
290,104-85-8,CC1=CC=C(C=C1)C#N,3.579783597
291,104-87-0,CC1=CC=C(C=C1)C=O,3.204119983
292,104-89-2,CCC1CCC(NC1)C,2.73239376
293,104-90-5,CCC1=CN=C(C=C1)C,2.995342642
294,104-92-7,COC1=CC=C(C=C1)Br,3.280350693
295,104-94-9,COC1=CC=C(C=C1)N,3.133538908
296,10402-52-5,CC(COC(=O)C)C1=CC=CC=C1,3.633468456
297,10402-53-6,CCOC(CN1CCN(CC1)CC(C)C(=O)C2=CC=CC=C2)C3=CC=CC=C3.Cl.Cl,2.882524538
298,104040-78-0,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC,3.687291089
299,10405-02-4,C1CC[N+]2(C1)[C@@H]3CC[C@H]2CC(C3)OC(=O)C(C4=CC=CC=C4)(C5=CC=CC=C5)O.[Cl-],3.178976947
300,10411-92-4,CC(=O)OC1CCC(CC1)C(C)(C)C,3.06069784
301,10415-87-9,CCC(C)(CCC1=CC=CC=C1)O,3.469822016
302,10419-79-1,CCOP(=O)(CCCl)OCC,3
303,10420-33-4,CC(=O)C(CC(=O)OC)C(=O)OC,3.301029996
304,104206-82-8,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2C(=O)CCCC2=O)[N+](=O)[O-],3.698970004
305,10423-37-7,C1=CC=C2C(C3=CC=CC=C3C=CC2=C1)C(=O)N,3.255272505
306,10436-39-2,C(C(=C(Cl)Cl)Cl)Cl,2.544068044
